epoch,train_loss
1,2.138641519266016
2,1.847040755888995
3,1.8231073033809662
4,1.8038479013302748
5,1.800006506092408
6,1.7862114806034985
7,1.758780864827773
8,1.7502584980515874
9,1.7402086311228135
10,1.7343422809067892
11,1.7232682495257432
12,1.7353176242463728
13,1.7245561615509144
14,1.7084262959396137
15,1.7052228812610404
16,1.71436062290388
17,1.7336126039308661
18,1.681923327375861
19,1.7185589138900532
20,1.6930696742674884
21,1.6853230467964622
22,1.6811722152373372
23,1.6839646499297198
24,1.6688168003278623
25,1.6879253648309147
26,1.6371342559421764
27,1.6774610694716958
28,1.614893185987192
29,1.6815954423301362
30,1.6216267595922247
31,1.6203453351820216
32,1.6088125688889447
33,1.6312821432422189
34,1.6089021683089875
35,1.6070553627434898
36,1.6145921824960145
37,1.6114964628920836
38,1.6312720681288664
39,1.6579291037601585
40,1.639823247930583
41,1.5963994976702858
42,1.5994372989850887
43,1.5762412657106624
44,1.5607963807793224
45,1.5707794553392074
46,1.5327718852548038
47,1.5584359950528426
48,1.577584569313947
49,1.5346349291941699
50,1.564018923500005
