step,bs32-lr1e-04-ep50-train/total_loss_step,bs32-lr1e-04-ep50-train/total_loss_timestamp
0,1.9172482511352729,1765028842373
1,1.841475040707367,1765029358679
2,1.81410385161405,1765029868170
3,1.803051497834336,1765030383636
4,1.794006317656561,1765030896063
5,1.786652749809136,1765031407432
6,1.778727461888372,1765031919480
7,1.76839437102927,1765032427945
8,1.756248301874077,1765032939024
9,1.746256004823826,1765033448900
10,1.743044907683568,1765033956183
11,1.7338720035438149,1765034463180
12,1.7334319964580551,1765034972270
13,1.726051781064125,1765035481706
14,1.7241244011798011,1765035991963
15,1.719485345481032,1765036501734
16,1.709712426322257,1765037014680
17,1.705341266480503,1765037525125
18,1.698087904483421,1765038034770
19,1.691527095672095,1765038545820
20,1.68460061720952,1765039052766
21,1.680768129877266,1765039562444
22,1.681837435553836,1765040075555
23,1.678936078058963,1765040586129
24,1.673814387582713,1765041098410
25,1.6710732062131362,1765041607351
26,1.665261346342189,1765042115145
27,1.662312642340916,1765042623094
28,1.660987920319008,1765043131375
29,1.659511549798643,1765043640788
30,1.652841545816361,1765044148866
31,1.642473580211419,1765044658273
32,1.6426054196211322,1765045170257
33,1.641638537941748,1765045677989
34,1.637636795164518,1765046190601
35,1.632977341866364,1765046701013
36,1.629036518696343,1765047210455
37,1.622887738206026,1765047720185
38,1.597841,1765048227752
39,1.587637,1765048738686
40,1.569939,1765049247392
41,1.554888,1765049757053
42,1.562081,1765050265940
43,1.558299,1765050773978
44,1.568905,1765051280781
45,1.569831,1765051787583
46,1.550347,1765052294832
47,1.550466,1765052801823
48,1.54505,1765053309137
49,1.547235,1765053816850
